source,relation,target
douyin_7014311118449528071,关联节点,球路偏左偏右
douyin_7014311118449528071,关联节点,肘腕力线不直
douyin_7014311118449528071,关联节点,肘腕释放链
douyin_7014311118449528071,关联节点,证据不足
douyin_7014311118449528071,关联节点,躯干旋转控制
douyin_7014311118449528071,关联节点,辅助手发力
douyin_7014311118449528071,关联节点,辅助手未及时分离
douyin_7014311118449528071,关联节点,近筐节奏投
douyin_7018393096928922893,关联节点,三角肌前束
douyin_7018393096928922893,关联节点,上下肢脱节
douyin_7018393096928922893,关联节点,下肢蹬伸链
douyin_7018393096928922893,关联节点,前臂屈伸肌群
douyin_7018393096928922893,关联节点,单手直线投篮
douyin_7018393096928922893,关联节点,垫步触地即弹
douyin_7018393096928922893,关联节点,核心稳定肌群
douyin_7018393096928922893,关联节点,肘腕力线不直
douyin_7018393096928922893,关联节点,肘腕释放链
douyin_7018393096928922893,关联节点,腓肠肌
douyin_7018393096928922893,关联节点,膝髋伸展不足
douyin_7018393096928922893,关联节点,证据不足
douyin_7018393096928922893,关联节点,足踝压弹链
douyin_7018393096928922893,关联节点,辅助手发力
douyin_7018393096928922893,关联节点,辅助手未及时分离
douyin_7018393096928922893,关联节点,近筐节奏投
douyin_7021732668169555239,关联节点,三角肌前束
douyin_7021732668169555239,关联节点,下肢蹬伸链
douyin_7021732668169555239,关联节点,低位到高位起球
douyin_7021732668169555239,关联节点,前臂屈伸肌群
douyin_7021732668169555239,关联节点,核心稳定不足
douyin_7021732668169555239,关联节点,核心稳定肌群
douyin_7021732668169555239,关联节点,球路侧偏
douyin_7021732668169555239,关联节点,球路偏左偏右
douyin_7021732668169555239,关联节点,肘腕力线不直
douyin_7021732668169555239,关联节点,肘腕释放链
douyin_7021732668169555239,关联节点,证据不足
douyin_7021732668169555239,关联节点,辅助手发力
douyin_7021732668169555239,关联节点,辅助手未及时分离
douyin_7024701574664441124,关联节点,三角肌前束
douyin_7024701574664441124,关联节点,下肢蹬伸链
douyin_7024701574664441124,关联节点,前臂屈伸肌群
douyin_7024701574664441124,关联节点,手肘外翻
douyin_7024701574664441124,关联节点,球路侧偏
douyin_7024701574664441124,关联节点,球路偏左偏右
douyin_7024701574664441124,关联节点,肘腕力线不直
douyin_7024701574664441124,关联节点,肘腕释放链
douyin_7024701574664441124,关联节点,腓肠肌
douyin_7024701574664441124,关联节点,证据不足
douyin_7024701574664441124,关联节点,足踝压弹链
douyin_7024701574664441124,关联节点,辅助手发力
douyin_7024701574664441124,关联节点,辅助手未及时分离
douyin_7026927926356512011,关联节点,下肢蹬伸链
douyin_7026927926356512011,关联节点,压弹式起跳训练
douyin_7026927926356512011,关联节点,垫步触地即弹
douyin_7026927926356512011,关联节点,筋膜弹性与牵张反射
douyin_7026927926356512011,关联节点,膝髋伸展不足
douyin_7026927926356512011,关联节点,证据不足
douyin_7026927926356512011,关联节点,起跳慢
douyin_7029154030890863885,关联节点,三角肌前束
douyin_7029154030890863885,关联节点,上下肢脱节
douyin_7029154030890863885,关联节点,下肢压缩过深
douyin_7029154030890863885,关联节点,下肢蹬伸链
douyin_7029154030890863885,关联节点,前臂屈伸肌群
douyin_7029154030890863885,关联节点,单手直线投篮
douyin_7029154030890863885,关联节点,压弹式起跳训练
douyin_7029154030890863885,关联节点,核心稳定肌群
douyin_7029154030890863885,关联节点,球路侧偏
douyin_7029154030890863885,关联节点,球路偏左偏右
douyin_7029154030890863885,关联节点,筋膜弹性与牵张反射
douyin_7029154030890863885,关联节点,肘腕力线不直
douyin_7029154030890863885,关联节点,肘腕释放链
douyin_7029154030890863885,关联节点,腓肠肌
douyin_7029154030890863885,关联节点,膝髋伸展不足
douyin_7029154030890863885,关联节点,证据不足
douyin_7029154030890863885,关联节点,足踝压弹链
douyin_7029154030890863885,关联节点,躯干前倾过大
douyin_7029154030890863885,关联节点,辅助手发力
douyin_7029154030890863885,关联节点,辅助手未及时分离
douyin_7029154030890863885,关联节点,近筐节奏投
douyin_7029154030890863885,关联节点,重心前冲
douyin_7031380362534096160,关联节点,三角肌前束
douyin_7031380362534096160,关联节点,上下肢脱节
douyin_7031380362534096160,关联节点,下肢蹬伸链
douyin_7031380362534096160,关联节点,前臂屈伸肌群
douyin_7031380362534096160,关联节点,肘腕力线不直
douyin_7031380362534096160,关联节点,肘腕释放链
douyin_7031380362534096160,关联节点,肱三头肌
douyin_7031380362534096160,关联节点,膝髋伸展不足
douyin_7031380362534096160,关联节点,证据不足
douyin_7031380362534096160,关联节点,辅助手发力
douyin_7031380362534096160,关联节点,近筐节奏投
douyin_7031380362534096160,关联节点,重心前冲
douyin_7033704416129649959,关联节点,三角肌前束
douyin_7033704416129649959,关联节点,下肢蹬伸链
douyin_7033704416129649959,关联节点,伸髋不足
douyin_7033704416129649959,关联节点,伸髋起球
douyin_7033704416129649959,关联节点,前臂屈伸肌群
douyin_7033704416129649959,关联节点,核心抗前冲
douyin_7033704416129649959,关联节点,核心稳定不足
douyin_7033704416129649959,关联节点,肘腕力线不直
douyin_7033704416129649959,关联节点,肘腕释放链
douyin_7033704416129649959,关联节点,肱三头肌
douyin_7033704416129649959,关联节点,腓肠肌
douyin_7033704416129649959,关联节点,膝髋伸展不足
douyin_7033704416129649959,关联节点,证据不足
douyin_7033704416129649959,关联节点,足踝压弹链
douyin_7035459918949780767,关联节点,三角肌前束
douyin_7035459918949780767,关联节点,上下肢脱节
douyin_7035459918949780767,关联节点,下肢蹬伸链
douyin_7035459918949780767,关联节点,低位到高位起球
douyin_7035459918949780767,关联节点,前臂屈伸肌群
douyin_7035459918949780767,关联节点,核心抗前冲
douyin_7035459918949780767,关联节点,核心稳定不足
douyin_7035459918949780767,关联节点,肘腕释放链
douyin_7035459918949780767,关联节点,腓肠肌
douyin_7035459918949780767,关联节点,膝髋伸展不足
douyin_7035459918949780767,关联节点,证据不足
douyin_7035459918949780767,关联节点,近筐节奏投
douyin_7038196310775844133,关联节点,三角肌前束
douyin_7038196310775844133,关联节点,下肢蹬伸链
douyin_7038196310775844133,关联节点,伸髋不足
douyin_7038196310775844133,关联节点,伸髋起球
douyin_7038196310775844133,关联节点,低位到高位起球
douyin_7038196310775844133,关联节点,前臂屈伸肌群
douyin_7038196310775844133,关联节点,压弹式起跳训练
douyin_7038196310775844133,关联节点,手肘外翻
douyin_7038196310775844133,关联节点,核心稳定肌群
douyin_7038196310775844133,关联节点,筋膜弹性与牵张反射
douyin_7038196310775844133,关联节点,肘腕力线不直
douyin_7038196310775844133,关联节点,肘腕释放链
douyin_7038196310775844133,关联节点,股四头肌
douyin_7038196310775844133,关联节点,腓肠肌
douyin_7038196310775844133,关联节点,膝髋伸展不足
douyin_7038196310775844133,关联节点,证据不足
douyin_7038196310775844133,关联节点,起跳慢
douyin_7038196310775844133,关联节点,足踝压弹链
douyin_7042140032928369951,关联节点,上下肢脱节
douyin_7042140032928369951,关联节点,下肢蹬伸链
douyin_7042140032928369951,关联节点,伸髋不足
douyin_7042140032928369951,关联节点,伸髋起球
douyin_7042140032928369951,关联节点,压弹式起跳训练
douyin_7042140032928369951,关联节点,手快脚慢
douyin_7042140032928369951,关联节点,核心抗前冲
douyin_7042140032928369951,关联节点,核心稳定肌群
douyin_7042140032928369951,关联节点,筋膜弹性与牵张反射
douyin_7042140032928369951,关联节点,股四头肌
douyin_7042140032928369951,关联节点,腓肠肌
douyin_7042140032928369951,关联节点,膝髋伸展不足
douyin_7042140032928369951,关联节点,证据不足
douyin_7042140032928369951,关联节点,足踝压弹链
douyin_7042140032928369951,关联节点,躯干前倾过大
douyin_7042140032928369951,关联节点,重心前冲
douyin_7046281596852374816,关联节点,三角肌前束
douyin_7046281596852374816,关联节点,上下肢脱节
douyin_7046281596852374816,关联节点,低位到高位起球
douyin_7046281596852374816,关联节点,前臂屈伸肌群
douyin_7046281596852374816,关联节点,肘腕释放链
douyin_7046281596852374816,关联节点,肱三头肌
douyin_7046281596852374816,关联节点,证据不足
douyin_7063051650348485920,关联节点,三角肌前束
douyin_7063051650348485920,关联节点,上下肢脱节
douyin_7063051650348485920,关联节点,下肢蹬伸链
douyin_7063051650348485920,关联节点,前臂屈伸肌群
douyin_7063051650348485920,关联节点,手快脚慢
douyin_7063051650348485920,关联节点,筋膜弹性与牵张反射
douyin_7063051650348485920,关联节点,肘腕力线不直
douyin_7063051650348485920,关联节点,肘腕释放链
douyin_7063051650348485920,关联节点,股四头肌
douyin_7063051650348485920,关联节点,肱三头肌
douyin_7063051650348485920,关联节点,证据不足
douyin_7066628530460806411,关联节点,三角肌前束
douyin_7066628530460806411,关联节点,前臂屈伸肌群
douyin_7066628530460806411,关联节点,肘腕力线不直
douyin_7066628530460806411,关联节点,肘腕释放链
douyin_7066628530460806411,关联节点,证据不足
douyin_7066628530460806411,关联节点,近筐节奏投
douyin_7069297321426554142,关联节点,上下肢脱节
douyin_7069297321426554142,关联节点,下肢蹬伸链
douyin_7069297321426554142,关联节点,前臂屈伸肌群
douyin_7069297321426554142,关联节点,压弹式起跳训练
douyin_7069297321426554142,关联节点,筋膜弹性与牵张反射
douyin_7069297321426554142,关联节点,肘腕力线不直
douyin_7069297321426554142,关联节点,肘腕释放链
douyin_7069297321426554142,关联节点,肱三头肌
douyin_7069297321426554142,关联节点,腓肠肌
douyin_7069297321426554142,关联节点,膝髋伸展不足
douyin_7069297321426554142,关联节点,臀大肌
douyin_7069297321426554142,关联节点,证据不足
douyin_7069297321426554142,关联节点,起跳慢
douyin_7069297321426554142,关联节点,足踝压弹链
douyin_7071483550029122830,关联节点,三角肌前束
douyin_7071483550029122830,关联节点,上下肢脱节
douyin_7071483550029122830,关联节点,下肢蹬伸链
douyin_7071483550029122830,关联节点,前臂屈伸肌群
douyin_7071483550029122830,关联节点,肘腕释放链
douyin_7071483550029122830,关联节点,腓肠肌
douyin_7071483550029122830,关联节点,膝髋伸展不足
douyin_7071483550029122830,关联节点,证据不足
douyin_7071483550029122830,关联节点,足踝压弹链
douyin_7072654785807240478,关联节点,三角肌前束
douyin_7072654785807240478,关联节点,上下肢脱节
douyin_7072654785807240478,关联节点,下肢蹬伸链
douyin_7072654785807240478,关联节点,前臂屈伸肌群
douyin_7072654785807240478,关联节点,球路侧偏
douyin_7072654785807240478,关联节点,球路偏左偏右
douyin_7072654785807240478,关联节点,肘腕力线不直
douyin_7072654785807240478,关联节点,肘腕释放链
douyin_7072654785807240478,关联节点,肱三头肌
douyin_7072654785807240478,关联节点,腓肠肌
douyin_7072654785807240478,关联节点,膝髋伸展不足
douyin_7072654785807240478,关联节点,证据不足
douyin_7072654785807240478,关联节点,足踝压弹链
douyin_7072654785807240478,关联节点,蹬地起球不同步
douyin_7072654785807240478,关联节点,辅助手发力
douyin_7072654785807240478,关联节点,辅助手未及时分离
douyin_7077019377517759748,关联节点,三角肌前束
douyin_7077019377517759748,关联节点,下肢蹬伸链
douyin_7077019377517759748,关联节点,前臂屈伸肌群
douyin_7077019377517759748,关联节点,核心抗前冲定点投
douyin_7077019377517759748,关联节点,肘腕力线不直
douyin_7077019377517759748,关联节点,肘腕释放链
douyin_7077019377517759748,关联节点,证据不足
douyin_7079629891666332941,关联节点,三角肌前束
douyin_7079629891666332941,关联节点,上下肢脱节
douyin_7079629891666332941,关联节点,下肢蹬伸链
douyin_7079629891666332941,关联节点,低位到高位起球
douyin_7079629891666332941,关联节点,前臂屈伸肌群
douyin_7079629891666332941,关联节点,手肘外翻
douyin_7079629891666332941,关联节点,手腕侧拨或扭曲
douyin_7079629891666332941,关联节点,球路侧偏
douyin_7079629891666332941,关联节点,球路偏左偏右
douyin_7079629891666332941,关联节点,肘腕力线不直
douyin_7079629891666332941,关联节点,肘腕释放链
douyin_7079629891666332941,关联节点,肱三头肌
douyin_7079629891666332941,关联节点,膝髋伸展不足
douyin_7079629891666332941,关联节点,证据不足
douyin_7079629891666332941,关联节点,重心前冲
douyin_7083706559829757196,关联节点,三角肌前束
douyin_7083706559829757196,关联节点,上下肢脱节
douyin_7083706559829757196,关联节点,前臂屈伸肌群
douyin_7083706559829757196,关联节点,肘腕力线不直
douyin_7083706559829757196,关联节点,肘腕释放链
douyin_7083706559829757196,关联节点,证据不足
douyin_7084811665971105028,关联节点,三角肌前束
douyin_7084811665971105028,关联节点,下肢蹬伸链
douyin_7084811665971105028,关联节点,前臂屈伸肌群
douyin_7084811665971105028,关联节点,肘腕力线不直
douyin_7084811665971105028,关联节点,肘腕释放链
douyin_7084811665971105028,关联节点,证据不足
douyin_7087779541116112131,关联节点,证据不足
douyin_7091981840961129732,关联节点,三角肌前束
douyin_7091981840961129732,关联节点,上下肢脱节
douyin_7091981840961129732,关联节点,下肢蹬伸链
douyin_7091981840961129732,关联节点,前臂屈伸肌群
douyin_7091981840961129732,关联节点,手快脚慢
douyin_7091981840961129732,关联节点,球路侧偏
douyin_7091981840961129732,关联节点,球路偏左偏右
douyin_7091981840961129732,关联节点,肘腕力线不直
douyin_7091981840961129732,关联节点,肘腕释放链
douyin_7091981840961129732,关联节点,腓肠肌
douyin_7091981840961129732,关联节点,膝髋伸展不足
douyin_7091981840961129732,关联节点,证据不足
douyin_7091981840961129732,关联节点,足踝压弹链
douyin_7091981840961129732,关联节点,重心前冲
douyin_7096436927712283941,关联节点,三角肌前束
douyin_7096436927712283941,关联节点,上肢提前主导
douyin_7096436927712283941,关联节点,下肢蹬伸链
douyin_7096436927712283941,关联节点,出手高度低
douyin_7096436927712283941,关联节点,膝髋伸展不足
douyin_7096436927712283941,关联节点,证据不足
douyin_7096436927712283941,关联节点,释放点低
douyin_7103076944610135309,关联节点,证据不足
douyin_7108190104266509604,关联节点,三角肌前束
douyin_7108190104266509604,关联节点,下肢蹬伸链
douyin_7108190104266509604,关联节点,低位到高位起球
douyin_7108190104266509604,关联节点,前臂屈伸肌群
douyin_7108190104266509604,关联节点,单手直线投篮
douyin_7108190104266509604,关联节点,肘腕力线不直
douyin_7108190104266509604,关联节点,肘腕释放链
douyin_7108190104266509604,关联节点,腓肠肌
douyin_7108190104266509604,关联节点,膝髋伸展不足
douyin_7108190104266509604,关联节点,证据不足
douyin_7108190104266509604,关联节点,足踝压弹链
douyin_7108190104266509604,关联节点,躯干前倾过大
douyin_7108190104266509604,关联节点,辅助手发力
douyin_7108190104266509604,关联节点,重心前冲
douyin_7110892122483526949,关联节点,三角肌前束
douyin_7110892122483526949,关联节点,上下肢脱节
douyin_7110892122483526949,关联节点,下肢蹬伸链
douyin_7110892122483526949,关联节点,前臂屈伸肌群
douyin_7110892122483526949,关联节点,压弹式起跳训练
douyin_7110892122483526949,关联节点,核心抗前冲
douyin_7110892122483526949,关联节点,核心稳定肌群
douyin_7110892122483526949,关联节点,筋膜弹性与牵张反射
douyin_7110892122483526949,关联节点,肘腕力线不直
douyin_7110892122483526949,关联节点,肘腕释放链
douyin_7110892122483526949,关联节点,股四头肌
douyin_7110892122483526949,关联节点,肱三头肌
douyin_7110892122483526949,关联节点,腓肠肌
douyin_7110892122483526949,关联节点,膝髋伸展不足
douyin_7110892122483526949,关联节点,证据不足
douyin_7110892122483526949,关联节点,躯干前倾过大
douyin_7110892122483526949,关联节点,重心前冲
douyin_7118657404723596575,关联节点,三角肌前束
douyin_7118657404723596575,关联节点,下肢蹬伸链
douyin_7118657404723596575,关联节点,压弹式起跳训练
douyin_7118657404723596575,关联节点,手肘外翻
douyin_7118657404723596575,关联节点,球路侧偏
douyin_7118657404723596575,关联节点,球路偏左偏右
douyin_7118657404723596575,关联节点,肘腕力线不直
douyin_7118657404723596575,关联节点,肘腕释放链
douyin_7118657404723596575,关联节点,腓肠肌
douyin_7118657404723596575,关联节点,证据不足
douyin_7118657404723596575,关联节点,足踝压弹链
douyin_7124245307340213534,关联节点,证据不足
douyin_7126022392979197215,关联节点,证据不足
douyin_7126383753215118629,关联节点,下肢蹬伸链
douyin_7126383753215118629,关联节点,前臂屈伸肌群
douyin_7126383753215118629,关联节点,单手直线投篮
douyin_7126383753215118629,关联节点,核心抗前冲定点投
douyin_7126383753215118629,关联节点,核心稳定肌群
douyin_7126383753215118629,关联节点,肘腕释放链
douyin_7126383753215118629,关联节点,证据不足
douyin_7126383753215118629,关联节点,近筐节奏投
douyin_7126409120005082405,关联节点,证据不足
douyin_7126542068805078285,关联节点,证据不足
douyin_7126547460327017741,关联节点,证据不足
douyin_7126553470445931807,关联节点,证据不足
douyin_7126887860044647684,关联节点,证据不足
douyin_7126887860044647684,关联节点,重心前冲
douyin_7128319562021424423,关联节点,证据不足
douyin_7137609234778262795,关联节点,三角肌前束
douyin_7137609234778262795,关联节点,上下肢脱节
douyin_7137609234778262795,关联节点,下肢蹬伸链
douyin_7137609234778262795,关联节点,无球蹬地起球同步
douyin_7137609234778262795,关联节点,核心抗前冲
douyin_7137609234778262795,关联节点,股四头肌
douyin_7137609234778262795,关联节点,肩胛稳定肌群
douyin_7137609234778262795,关联节点,膝髋伸展不足
douyin_7137609234778262795,关联节点,证据不足
douyin_7137609234778262795,关联节点,蹬地起球不同步
douyin_7137609234778262795,关联节点,躯干前倾过大
douyin_7137609234778262795,关联节点,重心前冲
douyin_7140481267300142347,关联节点,三角肌前束
douyin_7140481267300142347,关联节点,下肢蹬伸链
douyin_7140481267300142347,关联节点,伸髋不足
douyin_7140481267300142347,关联节点,伸髋起球
douyin_7140481267300142347,关联节点,核心抗前冲
